user,location,gender,followers,text,created_time,comments,good
阿信,台湾 台北市,m,21969397,"[ 挪威的森林 ]  伍佰 ✕ 五月天
mayday Life Tour no. 119 壓軸加班曲

讓我將妳心兒摘下
試著將它慢慢溶化
看我在妳心中是否仍完美無瑕

是否依然為我絲絲牽掛
依然愛我無法自拔
心中是否有我未曾到過的地方啊

那裡湖面總是澄清
那裡空氣充滿寧靜

雪白明月照在大地
藏著妳不願提起的回憶（藏著妳最 ​",Sun Jan 06 19:30:07 +0800 2019,5547,33166
JeremyLin林书豪,海外 美国,m,5822548,往前走，别回头 #NeverDone# ​,Mon Jan 07 11:19:07 +0800 2019,723,9839
谢娜,北京 海淀区,f,122666513,[嘘] http://t.cn/EGCRzDP ​,Sun Jan 06 23:44:40 +0800 2019,4953,52481
布丁没你甜,海外 意大利,m,1208517,喝了点酒之后跟男神告白，结果第二天醒来一看手机.....[哆啦A梦吃惊] ​,Sun Jan 06 21:35:37 +0800 2019,5959,11824
石原里美闲聊会,其他,f,522180,"[圣诞老人]有一种冷，叫石原里美觉得你冷。
[圣诞老人]录制旅行节目的女士坚持给没穿袜子的工作人员买了袜子。
[圣诞老人]来自老母亲的暖心。
#石原里美[超话]# ​",Sun Jan 06 15:50:53 +0800 2019,1309,9394
娱乐日爆社,北京,m,5697397,#李诞对张艺兴的吐槽好狠#《吐槽大会》@李诞 吐槽张艺兴@努力努力再努力x ：“今天开始我的偶像就是张艺兴了，你们就会在各大综艺节目里看到我哭、下跪、学羊吃草”[doge]称张艺兴的歌国内发布国外没人听，只能拿回来卖，这种歌叫外贸尾单。还吐槽艺兴国内唱跳第一人的称号，要带领华语音乐走向世界“ ​,Sun Jan 06 22:19:08 +0800 2019,4537,15710
欧阳娜娜Na数据组,台湾 台北市,m,13428,#欧阳娜娜 可爱# 是的啦 可爱本娜 ​,Sun Jan 06 21:36:00 +0800 2019,1360,21842
YouTube精选,海外 其他,m,14715681,【什么家庭啊，家里有乐高墙啊[跪了]】DJ Zedd分享了家里的一面墙壁，这面墙被改造成了许许多多的乐高空间。每扇小门打开都是精心设计的场景，还有守望先锋的”花村“主题房间，可以说是很让人羡慕了[跪了] http://t.cn/EG0z6g2 ​,Mon Jan 07 10:15:27 +0800 2019,649,2891
火箭少女101_杨超越,上海 黄浦区,f,4728970,新一年，你们知道我的心愿是什么吗？希望能把我的努力和好运都带给月芽们~德芙送福大使—杨超越，祝你新年“超有福气”！点击下方视频，我们一起新年送新福，#年年得福#！悄悄告诉大家，去@德芙悦时刻 还能围观我和@火箭少女101_傅菁 @火箭少女101_徐梦洁 的另一支新年广告片哦！http://t.cn/EGGI5ot ​,Mon Jan 07 11:30:27 +0800 2019,4299,16753
腐女大本营,北京,f,4314892,"#小秦氏演技太厉害##顾二叔终于看清曼娘真面目# 
手动允悲啊！哈哈哈哈哈哈哈！！！[允悲] ​",Sun Jan 06 22:16:56 +0800 2019,1894,16398
阿莫学长,广东 深圳,m,4327473,"其实男生有时候在喜欢的人面前就像是一个永远都长不大的孩子呀[二哈]
那么大家来都说说，#男生在恋爱中会撒娇吗# ​",Mon Jan 07 13:09:06 +0800 2019,9089,11607
污盟主,黑龙江,m,435706,老公出轨，原配当场抓奸，小三被逮个正着……现场十分凌乱。[哆啦A梦吃惊]#捉奸现场# http://t.cn/EG9Kpis ​,Sun Jan 06 21:18:22 +0800 2019,2315,9348
傅园慧o_O,浙江 杭州,f,7453687,http://t.cn/EGCD6mN,Mon Jan 07 00:30:09 +0800 2019,1905,11302
Mr_凡先生,其他,m,44920976,http://t.cn/EGC3Ur3,Mon Jan 07 00:00:05 +0800 2019,14055,66151
守望好莱坞,北京 海淀区,f,8684307,#金球奖#红毯上，提莫西·查拉梅认出了自己的中文外号“甜茶”，并喊了一遍[笑cry]来自金球奖官方微博@金球奖GoldenGlobes ，记者@婷的看片房 http://t.cn/EGpaR4T ​,Mon Jan 07 08:55:10 +0800 2019,933,8604
人民网,北京,m,62042565,【南方人看不懂#北方人晒饺子#！志愿者杀猪为贫困户包饺子，3万个饺子铺室外速冻】5日，黑龙江望奎，一群志愿者连续4年为孤寡老人和贫困户包饺子。他们今年杀了一头肥猪，又买了1000斤酸菜，打算包3万个饺子。他们将刚包好的饺子铺在室外，在“天然大冰柜”中冷冻装袋。@梨视频 http://t.cn/EG95sZU ​,Mon Jan 07 15:19:26 +0800 2019,1568,5801
谷大白话,北京,m,12024848,1.我跟土人认识很多年。当时我在微博上翻译囧司徒和扣扣熊的脱口秀视频，结识了不少像土人一样的囧叔扣叔粉丝。土人对美国文化很熟悉，是脱口秀粉丝中的佼佼者。所以我俩很聊得来。她毕业后也做过撰稿写影评的工作，但似乎不是太开心，我就说那不如来做我助理吧，帮我翻译脱口秀，影视和科普方面的视频 ​,Mon Jan 07 01:18:37 +0800 2019,2896,2726
一颗甜菜呀-,海外,f,507942,"#李诞对张艺兴的吐槽好狠#
张艺兴反击李诞这段也挺狠的呢哈哈哈哈哈哈哈哈
张艺兴：我是一个很会反击的人[doge][doge]
http://t.cn/EG9h8PY ​",Sun Jan 06 21:14:47 +0800 2019,3237,25216
我们爱讲冷笑话,其他,f,7949180,这就是我想象中的冬天生活，朴素的幸福[憧憬] http://t.cn/EGKmyEN ​,Sun Jan 06 19:41:05 +0800 2019,1309,10196
一位小财主,海外 美国,m,1897291,"立刻赞赞赞
揪一位小可爱送这款小ck包包
记得把关·注也点上，明天就开[米奇爱你] ​",Sun Jan 06 18:00:16 +0800 2019,1020,23865
最神奇的视频,海外 美国,m,11850442,复旦女博士教您一分钟读懂“血常规”报告单，家有孩子的可以收藏。 http://t.cn/EGWUgnS ​,Mon Jan 07 15:01:16 +0800 2019,90,1476
会火,其他,m,5660672,#会火话题# #胡歌是保密局的吧# 胡歌和吴磊出席某活动时同框，拥抱热聊不断，苏哥哥和飞流的大型回忆杀现场~ ​,Sun Jan 06 20:48:56 +0800 2019,1864,19380
周笔畅,北京,f,31391429,#下一站传奇# It never ends.[米奇比心][米奇比心] ​,Sun Jan 06 22:37:26 +0800 2019,10476,15837
微博搞笑排行榜,广东,f,52681923,工作中你学到，最深刻的经验教训是什么 _____________________________ ​​​,Sun Jan 06 22:00:02 +0800 2019,42592,21556
周柏豪Pakho,香港 其他,m,4512206,"若果
一點光代表一點力量
這一萬多點光集合在一起
足以改變我的生命
是你們把我填上顏色
是你們給我信心和力量

你們 就是我的生命

#周柏豪[超话]##周柏豪OneStepCloserLive# http://t.cn/EGNv4CK ​",Mon Jan 07 00:49:25 +0800 2019,1602,10353
景甜,北京,f,21251155,今天的秋裤无处躲藏[偷笑][偷笑][偷笑] ​,Sun Jan 06 20:07:28 +0800 2019,14678,77187
